|0|1|2|3|4
0|iPhone 11 Apple 64GB (PRODUCT)RED 6,1” 12MP iOS|R$ 3.059,99|R$ 4.399,00|ou 10x de R$ 340,00 sem juros|732
1|iPhone 11 Apple 64GB Preto 6,1” 12MP iOS|R$ 3.059,99|R$ 4.739,90|ou 10x de R$ 340,00 sem juros|2198
2|Smartphone Samsung Galaxy A13 128GB Preto 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 999,00|R$ 1.799,00|ou 9x de R$ 123,33 sem juros|3094
3|iPhone 11 Apple 64GB Branco 6,1” 12MP iOS|R$ 3.059,99|R$ 4.761,90|ou 10x de R$ 340,00 sem juros|2733
4|Smartphone Samsung Galaxy M53 128GB Azul 5G|R$ 1.999,00|R$ 3.499,00|ou 10x de R$ 222,11 sem juros|1312
5|Smartphone Motorola Moto G31 128GB Grafite 4G Octa-Core 4GB RAM 6,4” Câm. Tripla + Selfie 13MP|R$ 1.439,10|R$ 1.999,00|ou 10x de R$ 159,90 sem juros|1241
6|Apple iPhone 13 128GB Meia-noite Tela 6,1” 12MP - iOS|R$ 4.769,10|R$ 7.599,90|ou 10x de R$ 529,90 sem juros|1320
7|Smartphone Samsung Galaxy A23 128GB Preto 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.399,99|null|ou 10x de R$ 140,00 sem juros|null
8|Smartphone Samsung Galaxy A23 128GB Preto 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.748,90|null|ou 10x de R$ 174,89 sem juros|null
9|Smartphone Samsung Galaxy S20 FE 5G 128GB Violeta|R$ 2.249,00|R$ 3.999,00|ou 10x de R$ 249,89 sem juros|1803
10|Smartphone Samsung Galaxy A03 64GB Vermelho 4G Octa-Core 4GB RAM Tela 6,5|R$ 1.999,90|null|ou 10x de R$ 199,99 sem juros|null
11|Smartphone Samsung Galaxy A23 128GB Branco 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.399,00|null|ou 10x de R$ 139,90 sem juros|null
12|Smartphone Samsung Galaxy A13 128GB Branco 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 999,00|R$ 1.799,00|ou 9x de R$ 123,33 sem juros|2540
13|Smartphone Samsung Galaxy A13 128GB Azul 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 999,00|R$ 1.799,00|ou 9x de R$ 123,33 sem juros|2890
14|iPhone 11 Apple 128GB Branco 6,1” 12MP iOS|R$ 3.509,99|R$ 5.828,90|ou 10x de R$ 390,00 sem juros|1591
