1457,Moto G22 128 GB cosmic black 4 GB RAM,1.095,1.339,399,10,"109,50",sem juros,"",Moto G22 128 GB cosmic black,128,cosmic black,4 GB RAM
1458,"Smartphone Edge 30 Tela 6,5'' 256gb 8gb Ram Grafite Motorola",2.733,3.999,null,10,"273,32",sem juros,"","","","",""
1459,Soyes Xs13 Mini Smartphone 3g Android 6.0 Dual Sim,256.0,"",null,8,"32,03",sem juros,Soyes Xs13 Mini Smartphone 3g Android 6.0,"","","",""
1460,Smartphone Galaxy S21 Fe 6.4'' 5g 128gb 6gb Preto Samsung,2.573,4.499,null,9,"285,89",sem juros,"","","","",""
1461,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black 4 GB RAM,1.33,"",1542,"","","",Xiaomi Pocophone Poco M3 Pro 5G,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black,64,power black,4 GB RAM
1462,Smartphone Samsung Galaxy A03s Tela 6.5 64 Gb 4 Gb Ram Azul,857.0,1.499,null,10,"85,70",sem juros,"","","","",""
1463,Samsung Galaxy A13 Dual SIM 128 GB branco 4 GB RAM,1.099,1.599,2830,10,"109,90",sem juros,Samsung Galaxy A13,Samsung Galaxy A13 Dual SIM 128 GB branco,128,branco,4 GB RAM
1464,Realme 9i Dual SIM 128 GB prism black 6 GB RAM,1.279,"",36,"","","",Realme 9i,Realme 9i Dual SIM 128 GB prism black,128,prism black,6 GB RAM
1465,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender 6 GB RAM,2.399,3.999,1481,10,"239,90",sem juros,Samsung Galaxy S20 FE 5G,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender,128,cloud lavender,6 GB RAM
1466,Samsung Galaxy M13 Dual SIM 128 GB cobre 4 GB RAM,1.3,"",1709,"","","",Samsung Galaxy M13,Samsung Galaxy M13 Dual SIM 128 GB cobre,128,cobre,4 GB RAM
1467,Smartphone Note 11 - 128gb 4gb Ram Versão Global Nota Fiscal,1.247,"",null,"","","","","","","",""
1468,Moto G52 Dual SIM 128 GB charcoal grey 4 GB RAM,1.219,1.465,1792,"","","",Moto G52,Moto G52 Dual SIM 128 GB charcoal grey,128,charcoal grey,4 GB RAM
1469,Philco Hit P8 Dual SIM 32 GB dark blue 3 GB RAM,559.0,"",1130,"","","",Philco Hit P8,Philco Hit P8 Dual SIM 32 GB dark blue,32,dark blue,3 GB RAM
1470,LG K61 Dual SIM 128 GB titânio 4 GB RAM,1.07,"",1122,"","","",LG K61,LG K61 Dual SIM 128 GB titânio,128,titânio,4 GB RAM
1471,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5  Verde Samsung",719.0,1.099,null,10,"71,92",sem juros,"","","","",""
1472,Smartphone Motorola Moto E22 64gb Azul,1.084,1.299,null,10,"108,43",sem juros,"","","","",""
1473,Smartphone Galaxy A23 5g 128gb 4gb Azul Samsung,1.799,2.299,null,9,"199,89",sem juros,"","","","",""
1474,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue 6 GB RAM,1.482,"",789,"","","",Xiaomi Pocophone Poco M4 Pro,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue,128,cool blue,6 GB RAM
1475,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Azul Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
1476,Positivo P26 Dual SIM 32 MB preto 32 MB RAM,87.0,"",750,"","","",Positivo P26,"","","",""
1477,Moto E32 Dual SIM 64 GB rosa 4 GB RAM,839.0,1.045,1559,"","","",Moto E32,Moto E32 Dual SIM 64 GB rosa,64,rosa,4 GB RAM
1478,Smartphone Realme 9 Snapdragon 680 Branco 108mp 128gb 8gb,1.559,"",null,"","","","","","","",""
1479,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico 8 GB RAM,3.199,"",275,10,"319,90",sem juros,Samsung Galaxy Note20 5G,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico,256,cinza-místico,8 GB RAM
1480,Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray 6 GB RAM,1.349,"",3146,"","","",Xiaomi Redmi Note 11 (Snapdragon),Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray,128,graphite gray,6 GB RAM
1481,Smartphone Motorola Moto G42 128gb 4gb Ram Rosê,1.999,"",null,10,"199,90",sem juros,"","","","",""
1482,Smartphone Note 11 -128gb 4gb Ram Azul Claro +fone De Brinde,1.499,"",null,10,"149,90",sem juros,"","","","",""
1483,Celular Nokia 105 Dual Chip + Rádio Fm + Lanterna - Nk093,149.0,"",null,4,"37,25",sem juros,Celular Nokia 105,"","","",""
1484,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Branco Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
1485,Smartphone Samsung Galaxy A03s Dual 6.5 64gb 4gb Ram Preto,899.0,1.427,null,10,"89,90",sem juros,Smartphone Samsung Galaxy A03s,"","","",""
1486,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.039,1.301,null,"","","","","","","",""
1487,Moto G22 Dual SIM 128 GB cosmic black 4 GB RAM,1.02,"",2876,"","","",Moto G22,Moto G22 Dual SIM 128 GB cosmic black,128,cosmic black,4 GB RAM
1488,Philco Hit PCS01 Dual SIM 64 GB preto 4 GB RAM,1.1,"",118,10,"",sem juros,Philco Hit PCS01,Philco Hit PCS01 Dual SIM 64 GB preto,64,preto,4 GB RAM
1489,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão 6 GB RAM,2.929,"",2987,10,"292,90",sem juros,Xiaomi Mi 9T,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão,64,preto-carvão,6 GB RAM
1490,Celular Smartphone Philco Hit P8 32gb 3gb Ram Dark Blue 6'',559.0,"",null,"","","","","","","",""
1491,Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white 8 GB RAM,4.699,"",124,10,"",sem juros,Samsung Galaxy S22+ (Snapdragon),Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white,128,white,8 GB RAM
1492,Samsung Galaxy A04e Dual SIM 64 GB black 3 GB RAM,790.0,1.550,6,"","","",Samsung Galaxy A04e,Samsung Galaxy A04e Dual SIM 64 GB black,64,black,3 GB RAM
1493,Motorola Edge 20 Lite Dual SIM 128 GB grafite 6 GB RAM,2.624,"",198,"","","",Motorola Edge 20 Lite,Motorola Edge 20 Lite Dual SIM 128 GB grafite,128,grafite,6 GB RAM
1494,CAT S52 Dual SIM 64 GB preto 4 GB RAM,2.985,"",36,"","","",CAT S52,CAT S52 Dual SIM 64 GB preto,64,preto,4 GB RAM
1495,Celular Smartphone Tcl 201 5'' 32gb 1gb Dual Quad Core Preto,359.0,"",null,"","","",Celular Smartphone Tcl 201 5'' 32gb 1gb,"","","",""
1496,Smartphone Motorola Moto E32 Dual Sim 6.5 64gb 4gb Ram Rose,899.0,1.665,null,10,"89,90",sem juros,Smartphone Motorola Moto E32,"","","",""
1497,LG K52 (13 Mpx) Dual SIM 64 GB green 3 GB RAM,987.0,"",2301,"","","",LG K52 (13 Mpx),LG K52 (13 Mpx) Dual SIM 64 GB green,64,green,3 GB RAM
1498,Samsung Galaxy A23 128gb 4gb Ram Branco,1.249,"",917,10,"124,90",sem juros,"","","","",""
1499,LG K41S 32 GB preto 3 GB RAM,889.0,"",22,10,"88,90",sem juros,"",LG K41S 32 GB preto,32,preto,3 GB RAM
1500,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Vermelho",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
1501,Samsung Galaxy A03 Core Dual SIM 32 GB black 2 GB RAM,679.0,1.099,4614,10,"67,90",sem juros,Samsung Galaxy A03 Core,Samsung Galaxy A03 Core Dual SIM 32 GB black,32,black,2 GB RAM
1502,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Rose",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
1503,Moto G82 5G Dual SIM 128 GB branco 6 GB RAM,1.899,2.999,234,10,"189,90",sem juros,Moto G82 5G,Moto G82 5G Dual SIM 128 GB branco,128,branco,6 GB RAM
1504,Samsung Galaxy A03s Dual SIM 64 GB preto 4 GB RAM,809.0,"988,09",4247,"","","",Samsung Galaxy A03s,Samsung Galaxy A03s Dual SIM 64 GB preto,64,preto,4 GB RAM
1505,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5   Preto Samsung",679.0,1.099,null,10,"67,90",sem juros,"","","","",""
1506,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
1507,Moto G22 128 GB cosmic black 4 GB RAM,1.095,1.339,399,10,"109,50",sem juros,"",Moto G22 128 GB cosmic black,128,cosmic black,4 GB RAM
1508,"Smartphone Edge 30 Tela 6,5'' 256gb 8gb Ram Grafite Motorola",2.733,3.999,null,10,"273,32",sem juros,"","","","",""
1509,Soyes Xs13 Mini Smartphone 3g Android 6.0 Dual Sim,256.0,"",null,8,"32,03",sem juros,Soyes Xs13 Mini Smartphone 3g Android 6.0,"","","",""
1510,Smartphone Galaxy S21 Fe 6.4'' 5g 128gb 6gb Preto Samsung,2.573,4.499,null,9,"285,89",sem juros,"","","","",""
1511,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black 4 GB RAM,1.33,"",1542,"","","",Xiaomi Pocophone Poco M3 Pro 5G,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black,64,power black,4 GB RAM
1512,Smartphone Samsung Galaxy A03s Tela 6.5 64 Gb 4 Gb Ram Azul,857.0,1.499,null,10,"85,70",sem juros,"","","","",""
1513,Samsung Galaxy A13 Dual SIM 128 GB branco 4 GB RAM,1.099,1.599,2830,10,"109,90",sem juros,Samsung Galaxy A13,Samsung Galaxy A13 Dual SIM 128 GB branco,128,branco,4 GB RAM
1514,Realme 9i Dual SIM 128 GB prism black 6 GB RAM,1.279,"",36,"","","",Realme 9i,Realme 9i Dual SIM 128 GB prism black,128,prism black,6 GB RAM
1515,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender 6 GB RAM,2.399,3.999,1481,10,"239,90",sem juros,Samsung Galaxy S20 FE 5G,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender,128,cloud lavender,6 GB RAM
1516,Samsung Galaxy M13 Dual SIM 128 GB cobre 4 GB RAM,1.3,"",1709,"","","",Samsung Galaxy M13,Samsung Galaxy M13 Dual SIM 128 GB cobre,128,cobre,4 GB RAM
1517,Smartphone Note 11 - 128gb 4gb Ram Versão Global Nota Fiscal,1.247,"",null,"","","","","","","",""
1518,Moto G52 Dual SIM 128 GB charcoal grey 4 GB RAM,1.219,1.465,1792,"","","",Moto G52,Moto G52 Dual SIM 128 GB charcoal grey,128,charcoal grey,4 GB RAM
1519,Philco Hit P8 Dual SIM 32 GB dark blue 3 GB RAM,559.0,"",1130,"","","",Philco Hit P8,Philco Hit P8 Dual SIM 32 GB dark blue,32,dark blue,3 GB RAM
1520,LG K61 Dual SIM 128 GB titânio 4 GB RAM,1.07,"",1122,"","","",LG K61,LG K61 Dual SIM 128 GB titânio,128,titânio,4 GB RAM
1521,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5  Verde Samsung",719.0,1.099,null,10,"71,92",sem juros,"","","","",""
1522,Smartphone Motorola Moto E22 64gb Azul,1.084,1.299,null,10,"108,43",sem juros,"","","","",""
1523,Smartphone Galaxy A23 5g 128gb 4gb Azul Samsung,1.799,2.299,null,9,"199,89",sem juros,"","","","",""
1524,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue 6 GB RAM,1.482,"",789,"","","",Xiaomi Pocophone Poco M4 Pro,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue,128,cool blue,6 GB RAM
1525,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Azul Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
1526,Positivo P26 Dual SIM 32 MB preto 32 MB RAM,87.0,"",750,"","","",Positivo P26,"","","",""
1527,Moto E32 Dual SIM 64 GB rosa 4 GB RAM,839.0,1.045,1559,"","","",Moto E32,Moto E32 Dual SIM 64 GB rosa,64,rosa,4 GB RAM
1528,Smartphone Realme 9 Snapdragon 680 Branco 108mp 128gb 8gb,1.559,"",null,"","","","","","","",""
1529,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico 8 GB RAM,3.199,"",275,10,"319,90",sem juros,Samsung Galaxy Note20 5G,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico,256,cinza-místico,8 GB RAM
1530,Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray 6 GB RAM,1.349,"",3146,"","","",Xiaomi Redmi Note 11 (Snapdragon),Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray,128,graphite gray,6 GB RAM
1531,Smartphone Motorola Moto G42 128gb 4gb Ram Rosê,1.999,"",null,10,"199,90",sem juros,"","","","",""
1532,Smartphone Note 11 -128gb 4gb Ram Azul Claro +fone De Brinde,1.499,"",null,10,"149,90",sem juros,"","","","",""
1533,Celular Nokia 105 Dual Chip + Rádio Fm + Lanterna - Nk093,149.0,"",null,4,"37,25",sem juros,Celular Nokia 105,"","","",""
1534,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Branco Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
1535,Smartphone Samsung Galaxy A03s Dual 6.5 64gb 4gb Ram Preto,899.0,1.427,null,10,"89,90",sem juros,Smartphone Samsung Galaxy A03s,"","","",""
1536,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.039,1.301,null,"","","","","","","",""
1537,Moto G22 Dual SIM 128 GB cosmic black 4 GB RAM,1.02,"",2876,"","","",Moto G22,Moto G22 Dual SIM 128 GB cosmic black,128,cosmic black,4 GB RAM
1538,Philco Hit PCS01 Dual SIM 64 GB preto 4 GB RAM,1.1,"",118,10,"",sem juros,Philco Hit PCS01,Philco Hit PCS01 Dual SIM 64 GB preto,64,preto,4 GB RAM
1539,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão 6 GB RAM,2.929,"",2987,10,"292,90",sem juros,Xiaomi Mi 9T,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão,64,preto-carvão,6 GB RAM
1540,Celular Smartphone Philco Hit P8 32gb 3gb Ram Dark Blue 6'',559.0,"",null,"","","","","","","",""
1541,Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white 8 GB RAM,4.699,"",124,10,"",sem juros,Samsung Galaxy S22+ (Snapdragon),Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white,128,white,8 GB RAM
1542,Samsung Galaxy A04e Dual SIM 64 GB black 3 GB RAM,790.0,1.550,6,"","","",Samsung Galaxy A04e,Samsung Galaxy A04e Dual SIM 64 GB black,64,black,3 GB RAM
1543,Motorola Edge 20 Lite Dual SIM 128 GB grafite 6 GB RAM,2.624,"",198,"","","",Motorola Edge 20 Lite,Motorola Edge 20 Lite Dual SIM 128 GB grafite,128,grafite,6 GB RAM
1544,CAT S52 Dual SIM 64 GB preto 4 GB RAM,2.985,"",36,"","","",CAT S52,CAT S52 Dual SIM 64 GB preto,64,preto,4 GB RAM
1545,Celular Smartphone Tcl 201 5'' 32gb 1gb Dual Quad Core Preto,359.0,"",null,"","","",Celular Smartphone Tcl 201 5'' 32gb 1gb,"","","",""
1546,Smartphone Motorola Moto E32 Dual Sim 6.5 64gb 4gb Ram Rose,899.0,1.665,null,10,"89,90",sem juros,Smartphone Motorola Moto E32,"","","",""
1547,LG K52 (13 Mpx) Dual SIM 64 GB green 3 GB RAM,987.0,"",2301,"","","",LG K52 (13 Mpx),LG K52 (13 Mpx) Dual SIM 64 GB green,64,green,3 GB RAM
1548,Samsung Galaxy A23 128gb 4gb Ram Branco,1.249,"",917,10,"124,90",sem juros,"","","","",""
1549,LG K41S 32 GB preto 3 GB RAM,889.0,"",22,10,"88,90",sem juros,"",LG K41S 32 GB preto,32,preto,3 GB RAM
1550,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Vermelho",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
1551,Samsung Galaxy A03 Core Dual SIM 32 GB black 2 GB RAM,679.0,1.099,4614,10,"67,90",sem juros,Samsung Galaxy A03 Core,Samsung Galaxy A03 Core Dual SIM 32 GB black,32,black,2 GB RAM
1552,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Rose",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
1553,Moto G82 5G Dual SIM 128 GB branco 6 GB RAM,1.899,2.999,234,10,"189,90",sem juros,Moto G82 5G,Moto G82 5G Dual SIM 128 GB branco,128,branco,6 GB RAM
1554,Samsung Galaxy A03s Dual SIM 64 GB preto 4 GB RAM,809.0,"988,09",4247,"","","",Samsung Galaxy A03s,Samsung Galaxy A03s Dual SIM 64 GB preto,64,preto,4 GB RAM
1555,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5   Preto Samsung",679.0,1.099,null,10,"67,90",sem juros,"","","","",""
1556,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
1557,Moto G22 128 GB cosmic black 4 GB RAM,1.095,1.339,399,10,"109,50",sem juros,"",Moto G22 128 GB cosmic black,128,cosmic black,4 GB RAM
1558,"Smartphone Edge 30 Tela 6,5'' 256gb 8gb Ram Grafite Motorola",2.733,3.999,null,10,"273,32",sem juros,"","","","",""
1559,Soyes Xs13 Mini Smartphone 3g Android 6.0 Dual Sim,256.0,"",null,8,"32,03",sem juros,Soyes Xs13 Mini Smartphone 3g Android 6.0,"","","",""
1560,Smartphone Galaxy S21 Fe 6.4'' 5g 128gb 6gb Preto Samsung,2.573,4.499,null,9,"285,89",sem juros,"","","","",""
1561,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black 4 GB RAM,1.33,"",1542,"","","",Xiaomi Pocophone Poco M3 Pro 5G,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black,64,power black,4 GB RAM
1562,Smartphone Samsung Galaxy A03s Tela 6.5 64 Gb 4 Gb Ram Azul,857.0,1.499,null,10,"85,70",sem juros,"","","","",""
1563,Samsung Galaxy A13 Dual SIM 128 GB branco 4 GB RAM,1.099,1.599,2830,10,"109,90",sem juros,Samsung Galaxy A13,Samsung Galaxy A13 Dual SIM 128 GB branco,128,branco,4 GB RAM
1564,Realme 9i Dual SIM 128 GB prism black 6 GB RAM,1.279,"",36,"","","",Realme 9i,Realme 9i Dual SIM 128 GB prism black,128,prism black,6 GB RAM
1565,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender 6 GB RAM,2.399,3.999,1481,10,"239,90",sem juros,Samsung Galaxy S20 FE 5G,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender,128,cloud lavender,6 GB RAM
1566,Samsung Galaxy M13 Dual SIM 128 GB cobre 4 GB RAM,1.3,"",1709,"","","",Samsung Galaxy M13,Samsung Galaxy M13 Dual SIM 128 GB cobre,128,cobre,4 GB RAM
1567,Smartphone Note 11 - 128gb 4gb Ram Versão Global Nota Fiscal,1.247,"",null,"","","","","","","",""
1568,Moto G52 Dual SIM 128 GB charcoal grey 4 GB RAM,1.219,1.465,1792,"","","",Moto G52,Moto G52 Dual SIM 128 GB charcoal grey,128,charcoal grey,4 GB RAM
1569,Philco Hit P8 Dual SIM 32 GB dark blue 3 GB RAM,559.0,"",1130,"","","",Philco Hit P8,Philco Hit P8 Dual SIM 32 GB dark blue,32,dark blue,3 GB RAM
1570,LG K61 Dual SIM 128 GB titânio 4 GB RAM,1.07,"",1122,"","","",LG K61,LG K61 Dual SIM 128 GB titânio,128,titânio,4 GB RAM
1571,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5  Verde Samsung",719.0,1.099,null,10,"71,92",sem juros,"","","","",""
1572,Smartphone Motorola Moto E22 64gb Azul,1.084,1.299,null,10,"108,43",sem juros,"","","","",""
1573,Smartphone Galaxy A23 5g 128gb 4gb Azul Samsung,1.799,2.299,null,9,"199,89",sem juros,"","","","",""
1574,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue 6 GB RAM,1.482,"",789,"","","",Xiaomi Pocophone Poco M4 Pro,Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue,128,cool blue,6 GB RAM
1575,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Azul Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
1576,Positivo P26 Dual SIM 32 MB preto 32 MB RAM,87.0,"",750,"","","",Positivo P26,"","","",""
1577,Moto E32 Dual SIM 64 GB rosa 4 GB RAM,839.0,1.045,1559,"","","",Moto E32,Moto E32 Dual SIM 64 GB rosa,64,rosa,4 GB RAM
1578,Smartphone Realme 9 Snapdragon 680 Branco 108mp 128gb 8gb,1.559,"",null,"","","","","","","",""
1579,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico 8 GB RAM,3.199,"",275,10,"319,90",sem juros,Samsung Galaxy Note20 5G,Samsung Galaxy Note20 5G Dual SIM 256 GB cinza-místico,256,cinza-místico,8 GB RAM
1580,Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray 6 GB RAM,1.349,"",3146,"","","",Xiaomi Redmi Note 11 (Snapdragon),Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray,128,graphite gray,6 GB RAM
1581,Smartphone Motorola Moto G42 128gb 4gb Ram Rosê,1.999,"",null,10,"199,90",sem juros,"","","","",""
1582,Smartphone Note 11 -128gb 4gb Ram Azul Claro +fone De Brinde,1.499,"",null,10,"149,90",sem juros,"","","","",""
1583,Celular Nokia 105 Dual Chip + Rádio Fm + Lanterna - Nk093,149.0,"",null,4,"37,25",sem juros,Celular Nokia 105,"","","",""
1584,Smartphone Galaxy A13 6.6'' 128gb 4gb Ram Branco Samsung,1.099,1.599,null,10,"109,90",sem juros,"","","","",""
1585,Smartphone Samsung Galaxy A03s Dual 6.5 64gb 4gb Ram Preto,899.0,1.427,null,10,"89,90",sem juros,Smartphone Samsung Galaxy A03s,"","","",""
1586,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.039,1.301,null,"","","","","","","",""
1587,Moto G22 Dual SIM 128 GB cosmic black 4 GB RAM,1.02,"",2876,"","","",Moto G22,Moto G22 Dual SIM 128 GB cosmic black,128,cosmic black,4 GB RAM
1588,Philco Hit PCS01 Dual SIM 64 GB preto 4 GB RAM,1.1,"",118,10,"",sem juros,Philco Hit PCS01,Philco Hit PCS01 Dual SIM 64 GB preto,64,preto,4 GB RAM
1589,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão 6 GB RAM,2.929,"",2987,10,"292,90",sem juros,Xiaomi Mi 9T,Xiaomi Mi 9T Dual SIM 64 GB preto-carvão,64,preto-carvão,6 GB RAM
1590,Celular Smartphone Philco Hit P8 32gb 3gb Ram Dark Blue 6'',559.0,"",null,"","","","","","","",""
1591,Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white 8 GB RAM,4.699,"",124,10,"",sem juros,Samsung Galaxy S22+ (Snapdragon),Samsung Galaxy S22+ (Snapdragon) Dual SIM 128 GB white,128,white,8 GB RAM
1592,Samsung Galaxy A04e Dual SIM 64 GB black 3 GB RAM,790.0,1.550,6,"","","",Samsung Galaxy A04e,Samsung Galaxy A04e Dual SIM 64 GB black,64,black,3 GB RAM
1593,Motorola Edge 20 Lite Dual SIM 128 GB grafite 6 GB RAM,2.624,"",198,"","","",Motorola Edge 20 Lite,Motorola Edge 20 Lite Dual SIM 128 GB grafite,128,grafite,6 GB RAM
1594,CAT S52 Dual SIM 64 GB preto 4 GB RAM,2.985,"",36,"","","",CAT S52,CAT S52 Dual SIM 64 GB preto,64,preto,4 GB RAM
1595,Celular Smartphone Tcl 201 5'' 32gb 1gb Dual Quad Core Preto,359.0,"",null,"","","",Celular Smartphone Tcl 201 5'' 32gb 1gb,"","","",""
1596,Smartphone Motorola Moto E32 Dual Sim 6.5 64gb 4gb Ram Rose,899.0,1.665,null,10,"89,90",sem juros,Smartphone Motorola Moto E32,"","","",""
1597,LG K52 (13 Mpx) Dual SIM 64 GB green 3 GB RAM,987.0,"",2301,"","","",LG K52 (13 Mpx),LG K52 (13 Mpx) Dual SIM 64 GB green,64,green,3 GB RAM
1598,Samsung Galaxy A23 128gb 4gb Ram Branco,1.249,"",917,10,"124,90",sem juros,"","","","",""
1599,LG K41S 32 GB preto 3 GB RAM,889.0,"",22,10,"88,90",sem juros,"",LG K41S 32 GB preto,32,preto,3 GB RAM
1600,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Vermelho",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
1601,Samsung Galaxy A03 Core Dual SIM 32 GB black 2 GB RAM,679.0,1.099,4614,10,"67,90",sem juros,Samsung Galaxy A03 Core,Samsung Galaxy A03 Core Dual SIM 32 GB black,32,black,2 GB RAM
1602,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Rose",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
1603,Moto G82 5G Dual SIM 128 GB branco 6 GB RAM,1.899,2.999,234,10,"189,90",sem juros,Moto G82 5G,Moto G82 5G Dual SIM 128 GB branco,128,branco,6 GB RAM
1604,Samsung Galaxy A03s Dual SIM 64 GB preto 4 GB RAM,809.0,"988,09",4247,"","","",Samsung Galaxy A03s,Samsung Galaxy A03s Dual SIM 64 GB preto,64,preto,4 GB RAM
1605,"Smartphone Galaxy A03 Core 32gb 2gb Tela 6,5   Preto Samsung",679.0,1.099,null,10,"67,90",sem juros,"","","","",""
1606,"Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Preto",1.099,1.368,null,10,"109,90",sem juros,"","","","",""
1607,Moto G22 128 GB cosmic black 4 GB RAM,1.095,1.339,399,10,"109,50",sem juros,"",Moto G22 128 GB cosmic black,128,cosmic black,4 GB RAM
1608,"Smartphone Edge 30 Tela 6,5'' 256gb 8gb Ram Grafite Motorola",2.733,3.999,null,10,"273,32",sem juros,"","","","",""
1609,Soyes Xs13 Mini Smartphone 3g Android 6.0 Dual Sim,256.0,"",null,8,"32,03",sem juros,Soyes Xs13 Mini Smartphone 3g Android 6.0,"","","",""
1610,Smartphone Galaxy S21 Fe 6.4'' 5g 128gb 6gb Preto Samsung,2.573,4.499,null,9,"285,89",sem juros,"","","","",""
1611,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black 4 GB RAM,1.33,"",1542,"","","",Xiaomi Pocophone Poco M3 Pro 5G,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 64 GB power black,64,power black,4 GB RAM
1612,Smartphone Samsung Galaxy A03s Tela 6.5 64 Gb 4 Gb Ram Azul,857.0,1.499,null,10,"85,70",sem juros,"","","","",""
1613,Samsung Galaxy A13 Dual SIM 128 GB branco 4 GB RAM,1.099,1.599,2830,10,"109,90",sem juros,Samsung Galaxy A13,Samsung Galaxy A13 Dual SIM 128 GB branco,128,branco,4 GB RAM
1614,Realme 9i Dual SIM 128 GB prism black 6 GB RAM,1.279,"",36,"","","",Realme 9i,Realme 9i Dual SIM 128 GB prism black,128,prism black,6 GB RAM
1615,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender 6 GB RAM,2.399,3.999,1481,10,"239,90",sem juros,Samsung Galaxy S20 FE 5G,Samsung Galaxy S20 FE 5G Dual SIM 128 GB cloud lavender,128,cloud lavender,6 GB RAM
